source,model,method,model_type,win_rate,baseline,improvement
en,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,22.981366459627328,22.61,0.3713664596273283
en,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,27.45341614906832,22.61,4.843416149068322
en,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,18.757763975155278,22.61,-3.8522360248447214
en,mapo_enesru_llama3_8b_npo,mapo,npo,13.41614906832298,22.61,-9.19385093167702
es,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,16.832298136645964,16.21,0.6222981366459628
es,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,16.211180124223603,16.21,0.0011801242236018084
es,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,16.77018633540373,16.21,0.5601863354037278
es,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,16.70807453416149,16.21,0.49807453416148917
es,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,15.590062111801242,16.21,-0.6199378881987592
es,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,16.52173913043478,16.21,0.3117391304347805
es,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,4.3478260869565215,16.21,-11.86217391304348
es,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,1.8633540372670807,16.21,-14.34664596273292
es,mapo_enesru_llama3_8b_npo,mapo,npo,1.3664596273291925,16.21,-14.843540372670809
fr,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,17.577639751552795,18.88,-1.3023602484472043
fr,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,17.577639751552795,18.88,-1.3023602484472043
fr,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,18.571428571428573,18.88,-0.30857142857142605
fr,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,17.63975155279503,18.88,-1.2402484472049693
fr,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,19.440993788819878,18.88,0.5609937888198786
fr,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,18.26086956521739,18.88,-0.6191304347826083
fr,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,3.7267080745341614,18.88,-15.153291925465837
fr,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,2.484472049689441,18.88,-16.39552795031056
fr,mapo_enesru_llama3_8b_npo,mapo,npo,1.8633540372670807,18.88,-17.01664596273292
ru,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,18.944099378881987,19.32,-0.3759006211180136
ru,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,19.68944099378882,19.32,0.369440993788821
ru,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,18.074534161490682,19.32,-1.2454658385093182
ru,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,17.82608695652174,19.32,-1.493913043478262
ru,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,18.757763975155278,19.32,-0.5622360248447222
ru,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,19.06832298136646,19.32,-0.25167701863354
ru,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,3.229813664596273,19.32,-16.09018633540373
ru,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,2.111801242236025,19.32,-17.208198757763974
ru,mapo_enesru_llama3_8b_npo,mapo,npo,1.1180124223602486,19.32,-18.201987577639752
