source, model                                     , method , model_type       , length_controlled_winrate, baseline, improvement
en    , mapo_enesru_llama3_8b_npo_checkpoint-1    , mapo   , npo_checkpoint-1 ,    20.450928899609565    ,    23.8 , -3.349071100390436
en    , mapo_enesru_llama3_8b_npo_checkpoint-2    , mapo   , npo_checkpoint-2 ,    20.018900520123882    ,    23.8 , -3.7810994798761186
en    , mapo_enesru_llama3_8b_npo_checkpoint-3    , mapo   , npo_checkpoint-3 ,    19.012276025079455    ,    23.8 , -4.787723974920546
en    , mapo_enesru_llama3_8b_npo_checkpoint-4    , mapo   , npo_checkpoint-4 ,    20.390203394207507    ,    23.8 , -3.4097966057924936
en    , mapo_enesru_llama3_8b_npo_checkpoint-5    , mapo   , npo_checkpoint-5 ,    21.70495927241118     ,    23.8 , -2.0950407275888203
en    , mapo_enesru_llama3_8b_npo_checkpoint-10   , mapo   , npo_checkpoint-10,    22.592335824301436    ,    23.8 , -1.2076641756985644
en    , mapo_enesru_llama3_8b_npo_checkpoint-20   , mapo   , npo_checkpoint-20,    15.9570154651239      ,    23.8 , -7.8429845348761
en    , mapo_enesru_llama3_8b_npo_checkpoint-30   , mapo   , npo_checkpoint-30,     9.926669207115738    ,    23.8 , -13.873330792884262
en    , mapo_enesru_llama3_8b_npo                 , mapo   , npo              ,     5.871601822411838    ,    23.8 , -17.928398177588164
es    , mapo_enesru_llama3_8b_npo_checkpoint-1    , mapo   , npo_checkpoint-1 ,    15.497133409804286    ,    15.33, 0.16713340980428626
es    , mapo_enesru_llama3_8b_npo_checkpoint-2    , mapo   , npo_checkpoint-2 ,    15.459187301996344    ,    15.33, 0.12918730199634432
es    , mapo_enesru_llama3_8b_npo_checkpoint-3    , mapo   , npo_checkpoint-3 ,    15.080336293353005    ,    15.33, -0.2496637066469951
es    , mapo_enesru_llama3_8b_npo_checkpoint-4    , mapo   , npo_checkpoint-4 ,    15.196673380675612    ,    15.33, -0.1333266193243876
es    , mapo_enesru_llama3_8b_npo_checkpoint-5    , mapo   , npo_checkpoint-5 ,    14.304300322942087    ,    15.33, -1.0256996770579132
es    , mapo_enesru_llama3_8b_npo_checkpoint-10   , mapo   , npo_checkpoint-10,    14.23779995701085     ,    15.33, -1.09220004298915
es    , mapo_enesru_llama3_8b_npo_checkpoint-20   , mapo   , npo_checkpoint-20,     1.5787017040151978   ,    15.33, -13.751298295984803
es    , mapo_enesru_llama3_8b_npo_checkpoint-30   , mapo   , npo_checkpoint-30,     0.46225926840600207  ,    15.33, -14.867740731593997
es    , mapo_enesru_llama3_8b_npo                 , mapo   , npo              ,     0.34205044990609945  ,    15.33, -14.987949550093902
fr    , mapo_enesru_llama3_8b_npo_checkpoint-1    , mapo   , npo_checkpoint-1 ,    14.369741037020614    ,    16.39, -2.020258962979387
fr    , mapo_enesru_llama3_8b_npo_checkpoint-2    , mapo   , npo_checkpoint-2 ,    15.219694730149424    ,    16.39, -1.1703052698505765
fr    , mapo_enesru_llama3_8b_npo_checkpoint-3    , mapo   , npo_checkpoint-3 ,    15.936300609347978    ,    16.39, -0.453699390652023
fr    , mapo_enesru_llama3_8b_npo_checkpoint-4    , mapo   , npo_checkpoint-4 ,    15.271839697088568    ,    16.39, -1.1181603029114324
fr    , mapo_enesru_llama3_8b_npo_checkpoint-5    , mapo   , npo_checkpoint-5 ,    16.6888231576936      ,    16.39, 0.2988231576936009
fr    , mapo_enesru_llama3_8b_npo_checkpoint-10   , mapo   , npo_checkpoint-10,    15.012721877755405    ,    16.39, -1.3772781222445953
fr    , mapo_enesru_llama3_8b_npo_checkpoint-20   , mapo   , npo_checkpoint-20,     1.405040023245031    ,    16.39, -14.98495997675497
fr    , mapo_enesru_llama3_8b_npo_checkpoint-30   , mapo   , npo_checkpoint-30,     0.8543079755544772   ,    16.39, -15.535692024445524
