source,model,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-10,20.74534,1.424616,community,1680,165,636,4,805,20.74534,18.87106,0.252458,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-20,19.81366,1.401611,community,1662,158,644,3,805,19.81366,17.32496,0.262876,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-30,1.180124,0.375748,community,3159,9,795,1,805,1.180124,0.750103,0.03571,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_npo,0.6211180124,0.2770805818,community,4050,5,800,0,805,0.6211180124,0.3505598707,0.01441784875,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_w-reinforce_10.0_1.0,18.07453,1.352834,community,1808,144,658,3,805,18.07453,14.55749,0.246011,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_w-reinforce_0.1_1.0,19.00621,1.378117,community,1840,151,650,4,805,19.00621,19.05458,0.322546,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_w-reinforce,18.69565217,1.373583493,community,1649,150,654,1,805,18.69565217,13.29200036,0.1644580895,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_dpo,19.00621118,1.383711685,community,1677,153,652,0,805,19.00621118,13.83886039,0.2328512758,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_sft,20.2484472,1.417220453,community,1776,163,642,0,805,20.2484472,16.09658269,0.2344271529,,,,,,,,,,,,,,,,,,,,,,,,
ru,lacomsa_enesru_llama3_8b_ppo,18.19875776,1.359312547,community,1907,146,658,1,805,18.19875776,13.78207753,0.2371811249,,,,,,,,,,,,,,,,,,,,,,,,
