model,language,layer,mean,std,mean_pm_std,n
icr_npo_ckpt10,de,6,0.17495534107264726,0.018674264672348923,0.174955 +- 0.018674,3
icr_npo_ckpt10,de,7,0.1957506695808837,0.01681465236462998,0.195751 +- 0.016815,3
icr_npo_ckpt10,de,8,0.21896782333059872,0.017010440161547537,0.218968 +- 0.017010,3
icr_npo_ckpt10,de,9,0.21572876172089558,0.01629795191877702,0.215729 +- 0.016298,3
icr_npo_ckpt10,de,10,0.20922133694771408,0.014507832929839426,0.209221 +- 0.014508,3
icr_npo_ckpt10,de,11,0.19161904009331915,0.01503502377481012,0.191619 +- 0.015035,3
icr_npo_ckpt10,de,12,0.18752621424913968,0.01390872393648253,0.187526 +- 0.013909,3
icr_npo_ckpt10,de,13,0.2331500303999644,0.015184843727766163,0.233150 +- 0.015185,3
icr_npo_ckpt10,de,14,0.23520581247482605,0.015109253552419306,0.235206 +- 0.015109,3
icr_npo_ckpt10,de,15,0.2924085612929263,0.0150279934811819,0.292409 +- 0.015028,3
icr_npo_ckpt10,de,16,0.291187176081906,0.013722727841495167,0.291187 +- 0.013723,3
icr_npo_ckpt10,de,17,0.30106822759525387,0.01365016628254936,0.301068 +- 0.013650,3
icr_npo_ckpt10,de,18,0.2839489576166782,0.01318149027749942,0.283949 +- 0.013181,3
icr_npo_ckpt10,de,19,0.2805972214062601,0.013294086865760672,0.280597 +- 0.013294,3
icr_npo_ckpt10,de,20,0.26522643839394155,0.012913738622238562,0.265226 +- 0.012914,3
icr_npo_ckpt10,de,21,0.27052709238137457,0.01270972399305046,0.270527 +- 0.012710,3
icr_npo_ckpt10,de,22,0.2653923329817093,0.014790015451746331,0.265392 +- 0.014790,3
icr_npo_ckpt10,de,23,0.23290041339111436,0.01675319084893966,0.232900 +- 0.016753,3
icr_npo_ckpt10,de,24,0.19582195977611624,0.018037605250976436,0.195822 +- 0.018038,3
icr_npo_ckpt10,de,25,0.1694668569382132,0.02022932436541093,0.169467 +- 0.020229,3
icr_npo_ckpt10,de,26,0.12324595493544677,0.021535611375542704,0.123246 +- 0.021536,3
icr_npo_ckpt10,de,27,0.10022414656845209,0.01763034329211392,0.100224 +- 0.017630,3
icr_npo_ckpt10,de,28,0.07707469944453196,0.01969950616525623,0.077075 +- 0.019700,3
