,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
llama3_8b_ms01_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,16.81,21.37,1.44,community,1849,171,632,2,805,21.37,0.26
llama3_8b_ma_lacomsa_top30_bottom3_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,16.78,19.88,1.40,community,1751,159,644,2,805,19.88,0.28
llama3_8b_ma_lacomsa_all_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.53,20.37,1.42,community,1746,163,640,2,805,20.37,0.27
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,16.52,17.52,1.34,community,1614,140,663,2,805,17.52,0.28
llama3_8b_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.47,20.93,1.43,community,1845,167,635,3,805,20.93,0.25
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.41,20.25,1.41,community,1755,162,641,2,805,20.25,0.27
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,16.31,17.14,1.33,community,1627,137,666,2,805,17.14,0.30
llama3_8b_max_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.20,18.32,1.36,community,1753,147,657,1,805,18.32,0.21
llama3_8b_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.19,19.50,1.39,community,1768,156,647,2,805,19.50,0.22
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.14,20.00,1.41,community,1795,160,643,2,805,20.00,0.27
lacomsa_w-reinforce_random,15.76,17.02,1.32,community,1718,136,667,2,805,17.02,0.26
lidr_enesru_llama3_8b_ppo,15.52,17.64,1.34,community,1780,142,663,0,805,17.64,0.30
lidr_enesru_llama3_8b_w-reinforce_negative_heuristic,15.25,14.97,1.25,community,1599,118,682,5,805,14.97,0.32
llama3_8b_maxv2_no_norm_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,15.23,19.07,1.38,community,1834,153,651,1,805,19.07,0.22
lidr_enesru_llama3_8b_w-reinforce_1.0_1.0,14.37,21.99,1.46,community,2580,177,628,0,805,21.99,0.29
lidr_enesru_llama3_8b_dpo,14.36,19.13,1.39,community,3298,154,651,0,805,19.13,0.24
lidr_enesru_llama3_8b_w-reinforce_10.0_1.0,13.88,18.51,1.37,community,2054,149,656,0,805,18.51,0.22
llama3_8b_ms01_ma_lacomsa_-1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,13.28,17.45,1.34,community,1912,140,664,1,805,17.45,0.19
lidr_enesru_llama3_8b_w-reinforce,12.97,18.07,1.36,community,2459,145,659,1,805,18.07,0.24
lidr_enesru_llama3_8b_w-reinforce_0.1_1.0,12.97,18.07,1.36,community,2459,145,659,1,805,18.07,0.24
icr_w-reinforce_random,11.98,16.83,1.32,community,2102,134,668,3,805,16.83,0.15
mapo_w-reinforce_random_170526,11.18,13.91,1.22,community,1860,111,692,2,805,13.91,0.15
mapo_w-reinforce_random,2.78,4.97,0.77,community,1932,40,765,0,805,4.97,0.10
lidr_enesru_llama3_8b_sft,0.50,1.37,0.41,community,8880,11,794,0,805,1.37,0.03
lidr_enesru_llama3_8b_npo,0.00,0.00,0.00,community,12446,0,805,0,805,0.00,0.00
icr_enesru_llama3_8b_npo_150426,0.00,0.00,0.00,community,8475,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed44,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
