model_type        , lang, avg_length
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo               , es  ,     1808.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
dpo_150426        , fr  ,     1720.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
dpo_250426        , fr  ,     1538.0
ppo_150426        , fr  ,     1752.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo_150426        , fr  ,     1720.0
npo_150426        , fr  ,     6875.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
npo_checkpoint-10 , fr  ,     1745.0
dpo_250426        , fr  ,     1538.0
npo_checkpoint-2  , fr  ,     1726.0
npo_checkpoint-3  , fr  ,     1703.0
npo_checkpoint-5  , fr  ,     1691.0
npo_checkpoint-4  , fr  ,     1697.0
ppo_150426        , fr  ,     1752.0
npo_checkpoint-1  , fr  ,     1709.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
dpo_250426        , fr  ,     1538.0
ppo_150426        , fr  ,     1752.0
npo_checkpoint-1  , fr  ,     1709.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
npo_checkpoint-10 , fr  ,     1745.0
dpo_250426        , fr  ,     1538.0
npo_checkpoint-2  , fr  ,     1726.0
npo_checkpoint-3  , fr  ,     1703.0
npo_checkpoint-5  , fr  ,     1691.0
npo_checkpoint-4  , fr  ,     1697.0
ppo_150426        , fr  ,     1752.0
npo_checkpoint-1  , fr  ,     1709.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo_checkpoint-20 , fr  ,     3612.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
dpo_250426        , fr  ,     1538.0
npo_checkpoint-2  , fr  ,     1726.0
ppo_150426        , fr  ,     1752.0
npo_checkpoint-1  , fr  ,     1709.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo               , fr  ,        1.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
npo_checkpoint-10 , fr  ,     1745.0
dpo_250426        , fr  ,     1538.0
npo_checkpoint-2  , fr  ,     1726.0
npo_checkpoint-3  , fr  ,     1703.0
npo_checkpoint-5  , fr  ,     1691.0
npo_checkpoint-4  , fr  ,     1697.0
ppo_150426        , fr  ,     1752.0
npo_checkpoint-1  , fr  ,     1709.0
ppo               , fr  ,     1777.0
sft_150426        , fr  ,     2381.0
sft               , fr  ,     2423.0
npo_checkpoint-20 , fr  ,     3612.0
npo               , fr  ,        1.0
npo_checkpoint-30 , fr  ,     8088.0
dpo               , fr  ,     1965.0
w-reinforce       , fr  ,     1741.0
w-reinforce_150426, fr  ,     1710.0
dpo_250426        , fr  ,     1538.0
npo_checkpoint-2  , fr  ,     1726.0
npo_checkpoint-3  , fr  ,     1703.0
ppo_150426        , fr  ,     1752.0
npo_checkpoint-1  , fr  ,     1709.0
ppo               , fr  ,     1777.0
